reg_dt,spce_id,tag_value
2021-06-01 12:20:45,TG_0001095,23.77
2021-06-01 12:22:04,TG_0001099,25.3
2021-06-01 12:22:28,TG_0001100,25.66
2021-06-01 12:22:28,TG_0001101,25.66
2021-06-01 12:33:01,TG_0001096,24.75
2021-06-01 12:33:01,TG_0001097,24.75
2021-06-01 12:35:46,TG_0001094,23.75
2021-06-01 12:35:46,TG_0001095,23.75
2021-06-01 12:37:02,TG_0001099,25.31
2021-06-01 12:37:28,TG_0001100,25.6
2021-06-01 12:37:28,TG_0001101,25.6
2021-06-01 12:48:02,TG_0001096,24.74
2021-06-01 12:48:02,TG_0001097,24.74
2021-06-01 12:50:46,TG_0001094,23.79
2021-06-01 12:50:46,TG_0001095,23.79
2021-06-01 12:52:02,TG_0001099,25.32
2021-06-01 12:52:28,TG_0001100,25.56
2021-06-01 12:52:28,TG_0001101,25.56
2021-06-01 13:03:02,TG_0001096,24.75
2021-06-01 13:03:02,TG_0001097,24.75
2021-06-01 13:05:45,TG_0001094,23.86
2021-06-01 13:05:45,TG_0001095,23.86
2021-06-01 13:07:03,TG_0001099,25.33
2021-06-01 13:07:29,TG_0001100,25.53
2021-06-01 13:07:29,TG_0001101,25.53
2021-06-01 13:18:03,TG_0001096,24.74
2021-06-01 13:18:03,TG_0001097,24.74
2021-06-01 13:20:45,TG_0001094,23.94
2021-06-01 13:20:45,TG_0001095,23.94
2021-06-01 13:22:29,TG_0001100,25.51
2021-06-01 13:22:29,TG_0001101,25.51
2021-06-01 13:33:02,TG_0001096,24.8
2021-06-01 13:33:02,TG_0001097,24.8
2021-06-01 13:35:45,TG_0001094,24.1
2021-06-01 13:35:45,TG_0001095,24.1
2021-06-01 13:37:30,TG_0001100,25.52
2021-06-01 13:37:30,TG_0001101,25.52
2021-06-01 13:48:02,TG_0001096,24.95
2021-06-01 13:48:02,TG_0001097,24.95
2021-06-01 13:50:45,TG_0001094,24.33
2021-06-01 13:50:45,TG_0001095,24.33
2021-06-01 14:03:03,TG_0001096,25.09
2021-06-01 14:03:03,TG_0001097,25.09
2021-06-01 14:05:45,TG_0001094,24.42
2021-06-01 14:05:45,TG_0001095,24.42
2021-06-01 14:07:31,TG_0001100,25.53
2021-06-01 14:07:31,TG_0001101,25.53
